"filename", "language", "TypeScript", "Docker", "comment", "blank", "total"
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\Dockerfile", "Docker", 0, 3, 0, 1, 4
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.const\msg.const.ts", "TypeScript", 13, 0, 0, 13, 26
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.const\num.const.ts", "TypeScript", 2, 0, 0, 2, 4
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.const\var.const.ts", "TypeScript", 1, 0, 0, 3, 4
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\.tools\time.tool.ts", "TypeScript", 13, 0, 0, 3, 16
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\activity.controller.ts", "TypeScript", 4, 0, 30, 0, 34
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\activity.service.ts", "TypeScript", 15, 0, 33, 1, 49
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\activity\dtos\activity.update.dto.ts", "TypeScript", -1, 0, 0, -1, -2
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\app.middleware.ts", "TypeScript", 20, 0, 0, 1, 21
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\app.module.ts", "TypeScript", 7, 0, 0, 0, 7
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\attend.controller.ts", "TypeScript", -4, 0, 24, -1, 19
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\attend\attend.service.ts", "TypeScript", 11, 0, 24, 0, 35
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\bill.controller.ts", "TypeScript", 2, 0, 25, 0, 27
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\bill.service.ts", "TypeScript", 18, 0, 24, 0, 42
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\bill\entities\bill.entity.ts", "TypeScript", 2, 0, 0, 1, 3
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\feedback.controller.ts", "TypeScript", 3, 0, 32, 0, 35
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\feedback\feedback.service.ts", "TypeScript", 3, 0, 30, 0, 33
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\dtos\goods.buy.dto.ts", "TypeScript", 7, 0, 0, 2, 9
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\goods.controller.ts", "TypeScript", 19, 0, 39, 2, 60
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\goods\goods.service.ts", "TypeScript", 30, 0, 35, 3, 68
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\entities\log.entity.ts", "TypeScript", 4, 0, 0, 2, 6
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\log.controller.ts", "TypeScript", 3, 0, 17, 0, 20
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\log\log.service.ts", "TypeScript", 15, 0, 26, 2, 43
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\main.ts", "TypeScript", 1, 0, 0, 1, 2
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\message.controller.ts", "TypeScript", 3, 0, 23, -1, 25
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\message\message.service.ts", "TypeScript", 6, 0, 24, 1, 31
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\dtos\notice.read.dto.ts", "TypeScript", 6, 0, 0, 1, 7
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.controller.ts", "TypeScript", 11, 0, 38, 2, 51
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\notice\notice.service.ts", "TypeScript", 13, 0, 35, 3, 51
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.controller.ts", "TypeScript", 3, 0, 31, 0, 34
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\outsider\outsider.service.ts", "TypeScript", 7, 0, 30, 0, 37
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\parking.controller.ts", "TypeScript", 2, 0, 31, 0, 33
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\parking\parking.service.ts", "TypeScript", 2, 0, 30, 0, 32
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\payment.controller.ts", "TypeScript", 2, 0, 31, 0, 33
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\payment\payment.service.ts", "TypeScript", 14, 0, 30, 0, 44
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post\dtos\post.query.dto.ts", "TypeScript", 1, 0, 0, 1, 2
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post\post.controller.ts", "TypeScript", 3, 0, 36, 0, 39
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post\post.service.ts", "TypeScript", 3, 0, 30, -1, 32
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post_collect\post_collect.controller.ts", "TypeScript", 0, 0, 27, 0, 27
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post_collect\post_collect.service.ts", "TypeScript", 5, 0, 30, 0, 35
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post_comment\post_comment.controller.ts", "TypeScript", 3, 0, 25, 0, 28
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post_comment\post_comment.service.ts", "TypeScript", 3, 0, 24, 0, 27
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post_comment_like\post_comment_like.controller.ts", "TypeScript", 0, 0, 21, 0, 21
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post_comment_like\post_comment_like.service.ts", "TypeScript", 1, 0, 24, 0, 25
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post_like\post_like.controller.ts", "TypeScript", 0, 0, 21, 0, 21
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\post_like\post_like.service.ts", "TypeScript", 0, 0, 24, 0, 24
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\power\power.controller.ts", "TypeScript", 0, 0, 9, 0, 9
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\power\power.service.ts", "TypeScript", 0, 0, 20, 0, 20
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\repair\repair.controller.ts", "TypeScript", 3, 0, 31, 0, 34
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\repair\repair.service.ts", "TypeScript", 5, 0, 29, 0, 34
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\store\dtos\store.total.dto.ts", "TypeScript", 2, 0, 0, 1, 3
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\store\store.controller.ts", "TypeScript", 14, 0, 36, 2, 52
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\store\store.service.ts", "TypeScript", 39, 0, 36, 1, 76
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\user\dtos\user.op_money.dto.ts", "TypeScript", 6, 0, 0, 1, 7
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\user\dtos\user.open_money.dto.ts", "TypeScript", 6, 0, 0, 1, 7
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\user\dtos\user.reset_pay_password.dto.ts", "TypeScript", 8, 0, 0, 3, 11
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\user\dtos\user.update.dto.ts", "TypeScript", -1, 0, 0, -1, -2
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\user\user.controller.ts", "TypeScript", 29, 0, 110, 6, 145
"c:\Workspaces\Visual Studio Code\wuye\sp-ic-b\src\user\user.service.ts", "TypeScript", 69, 0, 96, 8, 173
"Total", "-", 456, 3, 1271, 63, 1793